
,providerId,locationId,organisationType,type,name,region,postalCode,onspdLatitude,onspdLongitude,rating_overall,reportDate,rating_caring,rating_effective,rating_responsive,rating_safe,rating_wellled,URL,Location_type,Location_subtype,Report_URL,Corpus_duplication_check
1,1-101675619,9999,Provider,Independent Healthcare Org,Healthcare at Home Ltd,West Midlands,DE14 1SZ,52.806769,-1.62564,Good,12/2/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/1-101675619,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ7172.pdf,included
2,1-102643363,9999,Provider,Independent Healthcare Org,St Andrew's Healthcare,East Midlands,NN1 5DG,52.238142,-0.873701,Requires improvement,2/10/2015,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/1-102643363,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ7777.pdf,included
3,1-118166459,9999,Provider,Independent Healthcare Org,Affinity Healthcare Limited,South East,GU7 1UW,51.187898,-0.582033,Good,8/3/2015,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/1-118166459,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAD5285.pdf,included
5,1-1353592041,9999,Provider,Independent Healthcare Org,The Thornbury Radiosurgery Centre Limited,Yorkshire & Humberside,S10 3BR,53.374535,-1.517275,Outstanding,8/5/2019,Outstanding,Outstanding,Good,Good,Good,http://www.cqc.org.uk/provider/1-1353592041,Independent Healthcare Org,Acute hospital - Independent non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ4520.pdf,included
7,1-165291700,9999,Provider,Independent Healthcare Org,Anglian Community Enterprise Community Interest Company (ACE CIC),East,CO4 9YQ,51.923793,0.921589,Good,4/26/2017,Good,Good,Good,Good,Requires improvement,http://www.cqc.org.uk/provider/1-165291700,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG4291.pdf,included
8,1-168055209,9999,Provider,Independent Healthcare Org,Provide Community Interest Company,East,CO4 9YQ,51.923793,0.921589,Outstanding,5/15/2019,Outstanding,Good,Outstanding,Good,Good,http://www.cqc.org.uk/provider/1-168055209,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ0650.pdf,included
9,1-177460793,9999,Provider,Independent Healthcare Org,NAViGO Health and Social Care CIC,Yorkshire & Humberside,DN32 0QE,53.562725,-0.089361,Good,12/11/2019,Outstanding,Good,Outstanding,Requires improvement,Good,http://www.cqc.org.uk/provider/1-177460793,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6163.pdf,included
11,1-186610815,9999,Provider,Independent Healthcare Org,Nottingham Citycare Partnership CIC,East Midlands,NG1 6GN,52.951832,-1.155769,Outstanding,3/8/2017,Outstanding,Good,Good,Good,Outstanding,http://www.cqc.org.uk/provider/1-186610815,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG0293.pdf,included
14,1-199797673,9999,Provider,Independent Healthcare Org,Central Surrey Health Limited,South East,KT19 0DZ,51.362801,-0.259232,Good,6/30/2017,Outstanding,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/1-199797673,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG2749.pdf,included
16,1-2642739822,9999,Provider,Independent Healthcare Org,Wiltshire Health and Care LLP,South West,SN15 2AJ,51.452539,-2.126709,Good,10/9/2017,Good,Good,Good,Good,Requires improvement,http://www.cqc.org.uk/provider/1-2642739822,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG6873.pdf,included
17,1-271962340,9999,Provider,Independent Healthcare Org,Livewell Southwest CIC,South West,PL6 5UF,50.416167,-4.127244,Good,1/3/2020,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/1-271962340,Independent Healthcare Org,Mental health - community & hospital - independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6277.pdf,included
